DATA;corrente_neutro;corrente_f1;corrente_f2;corrente_f3;tensao_f1;tensao_f2;tensao_f3
23/03/2022 07:56;;;;;;;
23/03/2022 07:55;;;;;;;
23/03/2022 07:55;9.29;4.05;3.27;1.96;252.0;251.9;252.0
23/03/2022 07:55;;;;;;;
23/03/2022 07:54;;;;;;;
23/03/2022 07:54;9.14;3.98;3.2;1.96;252.0;251.8;251.8
23/03/2022 07:54;9.1;3.97;3.21;1.91;251.7;251.6;251.6
23/03/2022 07:54;;;;;;;
23/03/2022 07:53;9.08;3.96;3.18;1.94;251.7;251.6;251.7
23/03/2022 07:53;;;;;;;
23/03/2022 07:52;;;;;;;
23/03/2022 07:52;9.28;4.04;3.27;1.97;252.6;252.3;252.3
23/03/2022 07:52;;;;;;;
23/03/2022 07:51;;;;;;;
23/03/2022 07:51;9.09;3.96;3.21;1.92;252.6;252.5;252.6
23/03/2022 07:51;;;;;;;
23/03/2022 07:50;;;;;;;
23/03/2022 07:50;;;;;;;
23/03/2022 07:49;9.2;4.02;3.25;1.93;252.8;252.7;252.7
23/03/2022 07:49;;;;;;;
23/03/2022 07:49;;;;;;;
23/03/2022 07:48;9.42;4.12;3.36;1.94;252.4;252.4;252.4
23/03/2022 07:48;;;;;;;
23/03/2022 07:47;;;;;;;
23/03/2022 07:47;9.52;4.15;3.37;2.0;252.8;252.7;252.7
23/03/2022 07:47;;;;;;;
23/03/2022 07:46;6.57;2.58;1.99;2.01;252.0;251.7;251.9
23/03/2022 07:46;6.66;2.62;2.01;2.03;252.1;251.9;251.9
23/03/2022 07:46;;;;;;;
23/03/2022 07:46;;;;;;;
23/03/2022 07:45;6.6;2.6;1.99;2.02;251.9;251.7;251.7
23/03/2022 07:45;;;;;;;
23/03/2022 07:45;;;;;;;
23/03/2022 07:44;6.61;2.62;1.99;2.01;251.8;251.6;251.5
23/03/2022 07:44;;;;;;;
23/03/2022 07:44;;;;;;;
23/03/2022 07:43;6.47;2.56;1.95;1.96;251.8;251.6;251.5
23/03/2022 07:43;;;;;;;
23/03/2022 07:43;;;;;;;
23/03/2022 07:42;6.56;2.6;1.97;1.99;252.1;251.8;251.7
23/03/2022 07:42;;;;;;;
23/03/2022 07:42;;;;;;;
23/03/2022 07:41;6.44;2.56;1.93;1.95;253.0;252.7;252.9
23/03/2022 07:41;;;;;;;
23/03/2022 07:40;;;;;;;
23/03/2022 07:40;9.04;3.93;3.14;1.97;252.5;252.2;252.8
23/03/2022 07:40;;;;;;;
23/03/2022 07:39;;;;;;;
23/03/2022 07:39;9.05;3.94;3.14;1.97;252.0;251.7;252.2
23/03/2022 07:39;;;;;;;
23/03/2022 07:38;;;;;;;
23/03/2022 07:38;9.17;3.97;3.21;1.99;252.7;252.6;252.7
23/03/2022 07:38;;;;;;;
23/03/2022 07:37;9.18;3.98;3.21;2.0;253.3;253.1;253.5
23/03/2022 07:37;;;;;;;
23/03/2022 07:37;;;;;;;
23/03/2022 07:36;9.2;3.97;3.21;2.02;252.5;252.4;252.7
23/03/2022 07:36;;;;;;;
23/03/2022 07:36;;;;;;;
23/03/2022 07:35;9.21;4.0;3.21;2.0;252.6;252.3;252.7
23/03/2022 07:35;;;;;;;
23/03/2022 07:35;;;;;;;
23/03/2022 07:34;9.32;4.04;3.24;2.04;253.0;252.8;253.1
23/03/2022 07:34;;;;;;;
23/03/2022 07:33;;;;;;;
23/03/2022 07:33;9.48;4.1;3.32;2.06;253.4;253.2;253.2
23/03/2022 07:33;;;;;;;
23/03/2022 07:32;;;;;;;
23/03/2022 07:32;9.49;4.13;3.36;2.0;253.4;253.3;253.3
23/03/2022 07:32;;;;;;;
23/03/2022 07:31;;;;;;;
23/03/2022 07:31;9.44;4.12;3.33;1.98;252.1;251.8;251.8
23/03/2022 07:31;;;;;;;
23/03/2022 07:30;9.36;4.07;3.34;1.95;251.8;251.6;251.6
23/03/2022 07:30;;;;;;;
